fold,strategy,model,position_strategy,trading_method,confidence_threshold,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.0,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.1,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.4,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,fixed_80,spot_day_trading,0.5,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.0,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.1,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
